scenario_id,title,year_guess,relative_path,size_bytes,companion_ini_found,campaign_series,notes
199,"Indonesian War - 1 - Convoy Lion, 1995",1995,"Indonesian War - 1 - Convoy Lion, 1995.scen",183811,True,Indonesian War Series,
200,"Indonesian War - 2 - Air Battle Over Java, 1995",1995,"Indonesian War - 2 - Air Battle Over Java, 1995.scen",256932,True,Indonesian War Series,
201,"Indonesian War - 3 - Spartan Goes Hunting, 1995",1995,"Indonesian War - 3 - Spartan Goes Hunting, 1995.scen",90553,True,Indonesian War Series,
202,"Into the Dark NordKapp NATO, 1985",1985,"Into the Dark NordKapp NATO, 1985.scen",1123573,True,The War That Never Was Series,
203,"Into the Dark NordKapp USSR, 1985",1985,"Into the Dark NordKapp USSR, 1985.scen",1018662,True,The War That Never Was Series,
204,"Invasion Re-Invasion, 2025",2025,"Invasion Re-Invasion, 2025.scen",1054641,True,Standalone Scenario,
205,"Iran Airbase Attack Drill, 2014",2014,"Iran Airbase Attack Drill, 2014.scen",276008,True,Standalone Scenario,
206,"Iran Strike, 2022",2022,"Iran Strike, 2022.scen",1597755,True,Standalone Scenario,
207,"Iran Strike, 2025",2025,"Iran Strike, 2025.scen",1267028,True,Standalone Scenario,
208,"Irish-Spanish Fish War, 2015",2015,"Irish-Spanish Fish War, 2015.scen",88409,True,Standalone Scenario,
209,"Israel strikes, 2014",2014,"Israel strikes, 2014.scen",616774,True,Standalone Scenario,
210,"Iwo Jima Goes to Mozambique, 2024",2024,"Iwo Jima Goes to Mozambique, 2024.scen",284678,True,Standalone Scenario,
211,"Jean Moulin Rouge, 1994",1994,"Jean Moulin Rouge, 1994.scen",102515,True,Standalone Scenario,
212,"Jeannes Last Jaunt, 2009",2009,"Jeannes Last Jaunt, 2009.scen",139725,True,Standalone Scenario,
213,"Kanton Island - Kiribati, 2024",2024,"Kanton Island - Kiribati, 2024.scen",544947,True,Standalone Scenario,
214,"Karachi Blockade, 2020",2020,"Karachi Blockade, 2020.scen",155463,True,Standalone Scenario,
215,"Kearsarge Comes to Pemba Island, 1967",1967,"Kearsarge Comes to Pemba Island, 1967.scen",280318,True,Standalone Scenario,
216,"Kharg Island, 2024",2024,"Kharg Island, 2024.scen",269159,True,Standalone Scenario,
217,"Khasab Helicopter Strike, 2017",2017,"Khasab Helicopter Strike, 2017.scen",77913,True,Standalone Scenario,
218,"Khrushchevs War, Day 1 - France Enters the Fray, 1957",1957,"Khrushchevs War, Day 1 - France Enters the Fray, 1957.scen",153266,True,Khrushchev's War Campaign,
